,lines,hash,doc,hashes
11,medium chat ,"[6, 4]",1,10
13,imagine life without medium ,"[7, 4, 7, 6]",1,24
28,give user feeling of closeness ,"[4, 4, 7, 2, 9]",1,26
40,give user feeling of closeness ,"[4, 4, 7, 2, 9]",2,26
10,give user feeling of closeness ,"[4, 4, 7, 2, 9]",1,26
39,People participate in network keep engage ,"[6, 11, 2, 7, 4, 6]",2,36
27,People participate in network keep engage ,"[6, 11, 2, 7, 4, 6]",1,36
9,People participate in network keep engage ,"[6, 11, 2, 7, 4, 6]",1,36
26,attribute enhance communication among user ,"[9, 7, 13, 5, 4]",1,38
38,attribute enhance communication among user ,"[9, 7, 13, 5, 4]",2,38
8,attribute enhance communication among user ,"[9, 7, 13, 5, 4]",1,38
14,cover sphere of life occupy role in life of person ,"[5, 6, 2, 4, 6, 4, 2, 4, 2, 6]",1,41
4,before decade people socialize with option get together ,"[6, 6, 6, 9, 4, 6, 3, 8]",1,48
22,before decade people socialize with option get together ,"[6, 6, 6, 9, 4, 6, 3, 8]",1,48
34,before decade people socialize with option get together ,"[6, 6, 6, 9, 4, 6, 3, 8]",2,48
1,advancement of smartphone technology in time for example ,"[11, 2, 10, 10, 2, 4, 3, 7]",1,49
31,advancement of smartphone technology in time for example ,"[11, 2, 10, 10, 2, 4, 3, 7]",2,49
19,advancement of smartphone technology in time for example ,"[11, 2, 10, 10, 2, 4, 3, 7]",1,49
16,type of communication can find person need contact time need ,"[4, 2, 13, 3, 4, 6, 4, 7, 4, 4]",1,51
12,develop sense of writing include slang abbreviation accept use ,"[7, 5, 2, 7, 7, 5, 12, 6, 3]",1,54
32,impact of medium intertwine with smartphone make of impression ,"[6, 2, 6, 10, 4, 10, 4, 2, 10]",2,54
2,impact of medium intertwine with smartphone make of impression ,"[6, 2, 6, 10, 4, 10, 4, 2, 10]",1,54
20,impact of medium intertwine with smartphone make of impression ,"[6, 2, 6, 10, 4, 10, 4, 2, 10]",1,54
35,today people get information on fingertip range from news to video ,"[5, 6, 3, 11, 2, 9, 5, 4, 4, 2, 5]",2,56
23,today people get information on fingertip range from news to video ,"[5, 6, 3, 11, 2, 9, 5, 4, 4, 2, 5]",1,56
5,today people get information on fingertip range from news to video ,"[5, 6, 3, 11, 2, 9, 5, 4, 4, 2, 5]",1,56
37,kind of networking site Facebook Twitter LinkedIn WhatsApp Pinterest ,"[4, 2, 10, 4, 8, 7, 8, 8, 9]",2,60
25,kind of networking site Facebook Twitter LinkedIn WhatsApp Pinterest ,"[4, 2, 10, 4, 8, 7, 8, 8, 9]",1,60
7,kind of networking site Facebook Twitter LinkedIn WhatsApp Pinterest ,"[4, 2, 10, 4, 8, 7, 8, 8, 9]",1,60
41,medium chat develop sense of writing include slang abbreviation accept use ,"[6, 4, 7, 5, 2, 7, 7, 5, 12, 6, 3]",2,64
29,medium chat develop sense of writing include slang abbreviation accept use ,"[6, 4, 7, 5, 2, 7, 7, 5, 12, 6, 3]",1,64
21,consider see happen on side of world through account of people filter news channel ,"[8, 3, 6, 2, 4, 2, 5, 7, 7, 2, 6, 6, 4, 7]",1,69
33,consider see happen on side of world through account of people filter news channel ,"[8, 3, 6, 2, 4, 2, 5, 7, 7, 2, 6, 6, 4, 7]",2,69
15,people consider can spoil to communication people can to communicate via network ,"[6, 8, 3, 5, 2, 13, 6, 3, 2, 11, 3, 7]",1,69
3,consider see happen on side of world through account of people filter news channel ,"[8, 3, 6, 2, 4, 2, 5, 7, 7, 2, 6, 6, 4, 7]",1,69
24,People about activity make world beyond landscape with contact update via web mobile ,"[6, 5, 8, 4, 5, 6, 9, 4, 7, 6, 3, 3, 6]",1,72
36,People about activity make world beyond landscape with contact update via web mobile ,"[6, 5, 8, 4, 5, 6, 9, 4, 7, 6, 3, 3, 6]",2,72
6,People about activity make world beyond landscape with contact update via web mobile ,"[6, 5, 8, 4, 5, 6, 9, 4, 7, 6, 3, 3, 6]",1,72
30,look over decade try find element affect society whole from standpoint would couple of contender ,"[4, 4, 6, 3, 4, 7, 6, 7, 5, 4, 10, 5, 6, 2, 9]",2,82
18,look over decade try find element affect society whole from standpoint would couple of contender ,"[4, 4, 6, 3, 4, 7, 6, 7, 5, 4, 10, 5, 6, 2, 9]",1,82
0,look over decade try find element affect society whole from standpoint would couple of contender ,"[4, 4, 6, 3, 4, 7, 6, 7, 5, 4, 10, 5, 6, 2, 9]",1,82
17,medium insinuate into politic workplace home life continue evolve at lightning speed make predict way will morph ,"[6, 9, 4, 7, 9, 4, 4, 8, 6, 2, 9, 5, 4, 7, 3, 4, 5]",1,96
